ODS,Year,Q,Variable,Value
RA4,2017,Q4,General and Accute - Occupied,296
RA7,2017,Q4,General and Accute - Available,724
RA7,2017,Q4,General and Accute - Occupied,723
RA9,2017,Q4,General and Accute - Available,404
RA9,2017,Q4,General and Accute - Occupied,336
RBA,2017,Q4,General and Accute - Available,471
RBA,2017,Q4,General and Accute - Occupied,401
RBD,2017,Q4,General and Accute - Available,301
RBD,2017,Q4,General and Accute - Occupied,260
RBZ,2017,Q4,General and Accute - Available,270
RBZ,2017,Q4,General and Accute - Occupied,238
RD1,2017,Q4,General and Accute - Available,646
RD1,2017,Q4,General and Accute - Occupied,626
RD3,2017,Q4,General and Accute - Available,514
RD3,2017,Q4,General and Accute - Occupied,473
RDR,2017,Q4,General and Accute - Available,121
RDR,2017,Q4,General and Accute - Occupied,114
RDU,2017,Q4,General and Accute - Available,1319
RDU,2017,Q4,General and Accute - Occupied,1264
RDY,2017,Q4,General and Accute - Available,
RDY,2017,Q4,General and Accute - Occupied,
RDZ,2017,Q4,General and Accute - Available,572
RDZ,2017,Q4,General and Accute - Occupied,551
REF,2017,Q4,General and Accute - Available,742
REF,2017,Q4,General and Accute - Occupied,629
RH5,2017,Q4,General and Accute - Available,263
RH5,2017,Q4,General and Accute - Occupied,246
RH8,2017,Q4,General and Accute - Available,905
RH8,2017,Q4,General and Accute - Occupied,793
RHM,2017,Q4,General and Accute - Available,1099
RHM,2017,Q4,General and Accute - Occupied,1054
RHU,2017,Q4,General and Accute - Available,1007
RHU,2017,Q4,General and Accute - Occupied,969
RHW,2017,Q4,General and Accute - Available,647
RHW,2017,Q4,General and Accute - Occupied,559
RJ8,2017,Q4,General and Accute - Available,136
RJ8,2017,Q4,General and Accute - Occupied,132
RK9,2017,Q4,General and Accute - Available,876
RK9,2017,Q4,General and Accute - Occupied,800
RN3,2017,Q4,General and Accute - Available,499
RN3,2017,Q4,General and Accute - Occupied,480
RN5,2017,Q4,General and Accute - Available,788
RN5,2017,Q4,General and Accute - Occupied,688
RN7,2017,Q4,General and Accute - Available,527
RN7,2017,Q4,General and Accute - Occupied,511
RNU,2017,Q4,General and Accute - Available,153
RNU,2017,Q4,General and Accute - Occupied,150
RNZ,2017,Q4,General and Accute - Available,472
RNZ,2017,Q4,General and Accute - Occupied,407
RPA,2017,Q4,General and Accute - Available,488
RPA,2017,Q4,General and Accute - Occupied,485
RPC,2017,Q4,General and Accute - Available,69
RPC,2017,Q4,General and Accute - Occupied,39
RTH,2017,Q4,General and Accute - Available,1130
RTH,2017,Q4,General and Accute - Occupied,1041
RTK,2017,Q4,General and Accute - Available,518
RTK,2017,Q4,General and Accute - Occupied,449
RTP,2017,Q4,General and Accute - Available,641
